ID,Name,Coordinates,Type,Province
1,آذربایجان شرقی,"46.657455911,38.005599119",province,0
2,آذربایجان غربی,"45.358173161,37.646162698",province,0
3,اردبیل,"48.08412099,38.44756018",province,0
4,اصفهان,"52.500527841,33.119744751",province,0
5,البرز,"50.81244392,35.967066697",province,0
6,ایلام,"46.919566626,33.124777218",province,0
7,بوشهر,"51.382261789,28.837729143",province,0
8,تهران,"51.734780835,35.561769196",province,0
16,چهارمحال وبختیاری,"50.645654508,32.040856025",province,0
17,خراسان جنوبی,"58.329196409,32.928303305",province,0
18,خراسان رضوی,"59.064571642,35.68213255",province,0
19,خراسان شمالی,"57.134744995,37.402500809",province,0
20,خوزستان,"49.023067568,31.451612401",province,0
21,زنجان,"48.393362741,36.505208342",province,0
22,سمنان,"54.671311861,35.423377673",province,0
23,سیستان وبلوچستان,"60.738712797,27.91477435",province,0
24,فارس,"53.254773391,29.164414999",province,0
25,قزوین,"49.766882976,36.091915787",province,0
26,قم,"51.04567986,34.69230703",province,0
27,کردستان,"46.982168937,35.680601372",province,0
28,کرمان,"57.313638603,29.595840732",province,0
29,کرمانشاه,"46.688100444,34.434566608",province,0
30,کهگیلویه وبویراحمد,"50.840223453,30.768287678",province,0
31,گلستان,"55.090960767,37.319996037",province,0
32,گیلان,"49.489480204,37.26118093",province,0
33,لرستان,"48.433747876,33.464293339",province,0
34,مازندران,"52.38919139,36.382721887",province,0
35,مرکزی,"49.954828123,34.491599683",province,0
36,هرمزگان,"56.452980774,27.020350527",province,0
37,همدان,"48.610733886,34.893465671",province,0
38,یزد,"54.61418449,31.806343956",province,0
495,آب بر,"48.952582136,36.927923362",city,21
580,آباد,"51.250106902,29.029348722",city,7
191,آبادان,"48.60038637,30.20422262",county,20
260,آباده,"52.433819779,31.208023216",county,24
593,آباده طشک,"53.725892479,29.811035353",city,24
980,آبپخش,"51.066458625,29.367930216",city,7
1805,آبدان,"51.767845155,28.07969484",city,7
86,آبدانان,"47.524275265,32.846182428",county,6
884,آبژدان,"49.453219362,32.063647833",city,20
1648,آبسرد,"52.15643407,35.6221404",city,8
800,آبش احمد,"47.315800105,39.045485572",city,1
889,آبعلی,"51.966525362,35.768157253",city,8
857,آبگرم,"49.284298418,35.757613596",city,25
1763,آبی بیگلو,"48.552855778,38.281799327",city,3
1225,آبیز,"59.964335098,33.69459373",city,17
297,آبیک,"50.351996466,36.091762894",county,25
1580,آجین,"47.926010444,34.737338493",city,37
1661,آچاچی,"47.781449512,37.398178123",city,1
1,آذرشهر,"45.817293148,37.722983723",county,1
227,آرادان,"52.632297935,34.904195081",county,22
1468,آراللو,"48.421704203,38.138569048",city,3
52,آران و بیدگل,"51.894914836,34.156913257",county,4
1349,آرمرده,"45.794661858,35.930934231",city,27
665,آرین شهر,"59.23306909,33.329678963",city,17
359,آزادشهر,"55.335391394,36.989916591",county,31
1491,آزادی,"48.24794784,32.399082876",city,20
1190,آسارا,"51.171497606,36.028947145",city,5
373,آستارا,"48.747428495,38.350940583",county,32
663,آستانه,"49.347395059,33.886963608",city,35
374,آستانه اشرفیه,"49.975834838,37.333345088",county,32
483,آستانه سرا,"56.47,32.01",city,34
1511,آسمان آباد,"46.464651509,33.849720512",city,6
8776,آشار,"56.47,32.01",city,23
422,آشتیان,"50.057297506,34.43766608",county,35
918,آشخانه,"56.923916683,37.558001522",city,19
192,آغاجاری,"49.904942969,30.750836404",county,20
360,آق قلا,"54.532622363,37.166980941",county,31
1417,آقکند,"48.058991932,37.258791879",city,1
1484,آکند,"53.078713281,36.695815085",city,34
1539,آلاشت,"52.83137015,36.06637619",city,34
1236,آلماجق,"56.47,32.01",city,18
681,آلنی,"56.47,32.01",city,3
685,آلونی,"51.062508393,31.55194141",city,16
400,آمل,"52.246490887,36.108499746",county,34
1403,آوا,"56.736721441,37.478045855",city,19
1026,آواجیق,"44.154032731,39.331041235",city,2
298,آوج,"49.228638224,35.672321138",county,25
1820,آوه,"50.418299088,34.797390763",city,35
1210,آیسک,"58.382047199,33.884064593",city,17
457,ابرکوه,"53.380823942,31.097091597",county,38
820,ابریشم,"51.576099175,32.56947567",city,4
219,ابهر,"49.133560463,36.165621338",county,21
1319,ابوحمیظه,"48.218696075,31.5268775",city,20
1622,ابوزیدآباد,"51.765846095,33.907921011",city,4
434,ابوموسی,"54.750581895,26.120667183",county,36
1315,احمد سر گوراب,"49.366132123,37.136553774",city,32
888,احمدآباد,"53.988856712,32.357335827",city,38
989,احمدآبادصولت,"60.693619347,35.116414932",city,18
831,اختیارآباد,"56.919078088,30.328310302",city,28
1346,ادیمی,"61.416070089,31.105410638",city,23
423,اراک,"49.799419792,34.149858766",county,35
485,اربطان,"46.937640831,38.174287542",city,1
1532,ارجمند,"52.512608796,35.818647953",city,8
858,ارد,"53.625086533,27.729557723",city,24
722,ارداق,"49.826518053,36.05326366",city,25
41,اردبیل,"48.285444109,38.251972822",county,3
53,اردستان,"52.542695561,33.563597987",county,4
458,اردکان,"54.765499861,32.606939201",county,38
1598,اردکان,"51.992826465,30.245021249",city,24
129,اردل,"50.462130937,31.92047173",county,16
1433,اردیموسی,"48.133898934,38.199334749",city,3
314,ارزوئیه,"56.525795813,28.440818963",county,28
557,ارسک,"57.374988726,33.700633147",city,17
261,ارسنجان,"53.392719631,29.841593735",county,24
606,ارطه,"52.944528489,36.494945297",city,34
1780,ارکواز,"46.595923182,33.384347209",city,6
647,ارمغانخانه,"48.361649783,36.973261193",city,21
22,ارومیه,"45.023454661,37.632378089",county,2
1014,اروندکنار,"48.527100842,29.983539142",city,20
773,ازگله,"45.84190222,34.832794669",city,29
389,ازنا,"49.428989731,33.503029717",county,33
954,ازندریان,"48.693943589,34.50325611",city,37
1795,اژیه,"52.374587594,32.440200538",city,4
1772,اسالم,"48.969293471,37.703873144",city,32
499,اسپکه,"60.172115172,26.836848673",city,23
262,استهبان,"54.018407939,29.139061047",county,24
1186,اسحق آباد,"59.006555765,36.031111935",city,18
447,اسدآباد,"48.025287901,34.783734194",county,37
1023,اسدیه,"60.027547681,32.909016761",city,17
537,اسفدن,"59.782329114,33.63984325",city,17
183,اسفراین,"57.544673859,36.963619807",county,19
717,اسفرورین,"49.736613836,35.938399229",city,25
13135,اسفندک,"56.47,32.01",city,23
18738,اسفهلان,"56.47,32.01",city,1
2,اسکو,"45.826980899,37.873798531",county,1
1293,اسلام آباد,"47.696890346,39.559131081",city,3
337,اسلام آباد غرب,"46.679422621,34.023136257",county,29
118,اسلامشهر,"51.246992418,35.584707237",county,8
1563,اسلامشهر آق گل,"48.988922761,34.560358333",city,37
536,اسلامیه,"58.217650382,34.041154899",city,17
12865,اسماعیل آباد,"56.47,32.01",city,23
846,اسیر,"52.671780834,27.726920878",city,24
1336,اشتر جان,"51.469341756,32.480820226",city,4
652,اشترینان,"48.641485174,34.013552588",city,33
79,اشتهارد,"50.423029762,35.713903737",county,5
459,اشکذر,"54.043853413,31.982404979",county,38
1666,اشکنان,"53.611468006,27.2268839",city,24
23,اشنویه,"45.073017644,37.072603271",county,2
1025,اصغرآباد,"51.479544082,32.66148556",city,4
54,اصفهان,"52.438532215,32.2443068",county,4
42,اصلاندوز,"47.551182627,39.361435888",county,3
811,اطاقور,"50.114515616,37.109778844",city,32
1071,افزر,"52.964907148,28.346841432",city,24
961,افوس,"50.089138696,33.021099481",city,4
1357,اقبالیه,"49.921871842,36.229067706",city,25
263,اقلید,"52.472495042,30.675555269",county,24
1150,اکبرآباد,"56.47,32.01",city,24
299,البرز,"50.185496054,36.224910266",county,25
1000,الشتر,"48.263783311,33.865127817",city,33
18843,القجر,"56.47,32.01",city,31
1126,الهائی,"48.589206661,31.656181338",city,20
1274,الوان,"48.347375493,31.875617435",city,20
1722,الوند,"50.059113454,36.186073671",city,25
390,الیگودرز,"49.414643573,33.126511807",county,33
1052,امام حسن,"50.267987023,29.838910178",city,7
895,امام زاده عبدالله,"52.305298061,36.410150972",city,34
725,امام شهر,"53.154083094,28.448928469",city,24
375,املش,"50.144446895,36.970205221",county,32
193,امیدیه,"49.698518393,30.761202779",county,20
927,امیرکلا,"52.665004422,36.599759744",city,34
1719,امیریه,"54.139233404,36.027978533",city,22
915,امین شهر,"55.341052066,30.842968177",city,28
922,انابد,"57.809553279,35.250583784",city,18
315,انار,"55.294462996,30.841999598",county,28
1876,انارستان,"52.073292044,28.031926296",city,7
1434,انارک,"53.694616882,33.308293646",city,4
1492,انبار آلوم,"54.618881169,37.134978149",city,31
1815,اندوهجرد,"57.754198655,30.251119504",city,28
194,اندیکا,"49.538402147,32.305708134",county,20
195,اندیمشک,"48.329251677,32.701327717",county,20
1190,انگوت,"56.47,32.01",county,3
3,اهر,"47.147440932,38.508886495",county,1
1534,اهرم,"51.276356011,28.886937268",city,7
1873,اهل,"53.660250651,27.209737981",city,24
196,اهواز,"48.750904049,31.222671934",county,20
615,اورامان تخت,"46.26445279,35.253334848",city,27
264,اوز,"53.882239981,27.869744023",county,24
1679,اولتان,"56.47,32.01",city,3
1827,ایج,"54.243689413,29.022113053",city,24
220,ایجرود,"48.19240678,36.340602644",county,21
197,ایذه,"49.987700277,31.861323342",county,20
235,ایرانشهر,"60.233593693,27.739179584",county,23
988,ایزدخواست,"52.126666048,31.518418448",city,24
567,ایزدشهر,"52.144831505,36.600924228",city,34
87,ایلام,"46.375440041,33.550349915",county,6
807,ایلخچی,"45.977513187,37.93746582",city,1
1850,اینچه برون,"54.717592843,37.4534319",city,31
88,ایوان,"46.167594716,33.883729274",county,6
908,ایوانکی,"52.066356037,35.345408347",city,22
993,ایواوغلی,"45.208933669,38.716797437",city,2
1642,ایور,"56.26072346,36.969013233",city,19
1265,باب انار,"53.199396657,28.969364842",city,24
1838,باباحیدر,"50.470667278,32.329478826",city,16
1595,بابارشانی,"47.797862414,35.679048797",city,27
1602,بابامنیر,"51.203111067,30.072811488",city,24
754,بابکان,"52.456091286,36.453043326",city,34
401,بابل,"52.624019209,36.298467768",county,34
402,بابلسر,"52.693634919,36.664967818",county,34
1688,باجگیران,"58.41911372,37.622030393",city,18
150,باخرز,"60.296908927,35.049028044",county,18
554,بادرود,"51.98944595,33.683341523",city,4
1471,بادوله,"51.504860798,28.390767956",city,7
870,بار,"58.715964362,36.491653039",city,18
24,باروق,"56.47,32.01",county,2
1359,بازار جمعه,"49.121159963,37.407365071",city,32
550,بازرگان,"44.386309337,39.389719666",city,2
698,بازفت,"50.047257392,32.205623724",city,16
1285,باسمنج,"46.473646537,37.992414089",city,1
351,باشت,"51.074616682,30.461316002",county,30
711,باغ بهادران,"51.192238414,32.37819088",city,4
12952,باغ صفا,"56.47,32.01",city,24
198,باغ ملک,"49.920675015,31.476034576",county,20
700,باغستان,"58.291114775,34.102019899",city,17
1611,باغستان,"51.148539782,35.623983463",city,8
645,باغشاد,"51.231907699,32.379616167",city,4
1487,باغین,"56.81467847,30.191982868",city,28
316,بافت,"56.482463649,29.021961214",county,28
1804,بافران,"53.141847316,32.838310751",city,4
460,بافق,"55.420778989,31.658691414",county,38
1665,باقر شهر,"51.400249458,35.534687418",city,8
1647,بالاده,"51.938259677,29.286747365",city,24
1386,بالاشهر,"57.353810372,27.213855649",city,36
1193,بام و صفی آباد,"56.47,32.01",county,19
1639,بان وره,"46.360530855,34.969993515",city,29
304,بانه,"45.846984605,35.985147008",county,27
657,باوج,"49.911982647,31.147895177",city,20
199,باوی,"48.962682595,31.516510259",county,20
1156,بایک,"59.038380315,35.375808427",city,18
1682,باینگان,"46.27211761,34.980166566",city,29
151,بجستان,"58.159357265,34.597152262",county,18
184,بجنورد,"57.360003371,37.563404858",county,19
574,بخ,"54.085151508,31.307494348",city,38
265,بختگان,"53.859693913,29.609158622",county,24
682,بخشایش,"46.941442109,38.134035009",city,1
89,بدره,"47.025534729,33.314364829",county,6
767,برازجان,"51.217968622,29.268284802",city,7
12955,بران علیا,"56.47,32.01",city,3
55,برخوار,"51.773465019,33.006062683",county,4
12793,برخوردار,"56.47,32.01",city,33
515,بردخون,"51.475257781,28.061119913",city,7
987,بردستان,"51.959227176,27.869969267",city,7
152,بردسکن,"57.355825335,35.173057664",county,18
317,بردسیر,"56.681201694,29.789213393",county,28
1704,برده رشه,"46.091629703,35.594573774",city,27
1153,برزک,"51.226867479,33.782424889",city,4
878,برزول,"48.262703301,34.213763054",city,37
1031,برف انبار,"50.195884388,33.003306102",city,4
1226,بره سر,"49.756521945,36.773385833",city,32
1154,بروات,"58.423765994,29.062385666",city,28
391,بروجرد,"48.754706097,33.888305102",county,33
130,بروجن,"51.168319384,31.887282605",county,16
8755,بریس,"56.47,32.01",city,23
659,بزمان,"60.176046914,27.858465099",city,23
508,بزنجان,"56.694850263,29.25364751",city,28
991,بستان,"47.990266601,31.716600828",city,20
4,بستان آباد,"46.817824529,37.807038323",county,1
435,بستک,"54.493123633,27.202614268",county,36
555,بسطام,"54.99806007,36.483312477",city,22
436,بشاگرد,"58.140750034,26.428466616",county,36
139,بشرویه,"57.476731252,34.141142402",county,17
655,بفروئیه,"53.985885242,32.277291124",city,38
1301,بکتاش,"46.014869629,37.07892915",city,2
923,بلاوه,"46.804251786,33.666915349",city,6
1198,بلبان آباد,"47.319824477,35.139925396",city,27
1546,بلداجی,"51.055165903,31.940198995",city,16
1630,بلده,"51.807849325,36.199262929",city,34
810,بلورد,"56.044892096,29.421271889",city,28
1143,بلوک,"57.515636924,28.232035988",city,28
318,بم,"58.213172681,29.066881438",county,28
236,بمپور,"60.25329333,27.165690811",county,23
131,بن,"50.638225036,32.582365297",county,16
5,بناب,"45.98655815,37.314072549",county,1
1828,بناب مرند,"45.905890785,38.426932718",city,1
576,بنارویه,"54.046385537,28.083798158",city,24
1496,بنت,"59.524863185,26.294213868",city,23
748,بنجار,"61.567279839,31.041222218",city,23
376,بندر انزلی,"49.400307447,37.463231538",county,32
1049,بندر دیلم,"50.163721046,30.0558736",city,7
804,بندر ریگ,"50.631134171,29.484196384",city,7
684,بندرامام خمینی,"49.049520633,30.559025159",city,20
1502,بندرترکمن,"54.07368449,36.903830043",city,31
749,بندرجاسک,"57.79754534,25.660567761",city,36
532,بندردیر,"51.93478435,27.841470322",city,7
437,بندرعباس,"56.237962457,27.529964952",county,36
1227,بندرکنگان,"52.06558355,27.839172768",city,7
361,بندرگز,"53.95930091,36.728999713",county,31
1208,بندرگناوه,"50.52604342,29.582017703",city,7
438,بندرلنگه,"54.598444957,26.840042407",county,36
200,بندرماهشهر,"49.211459622,30.518012427",county,20
1626,بندزرک,"56.981287075,27.065606809",city,36
530,بنک,"52.031733494,27.87094391",city,7
461,بهاباد,"56.142875486,32.017619747",county,38
448,بهار,"48.371201272,34.991335022",county,37
1028,بهاران شهر,"51.549927249,32.523376086",city,4
119,بهارستان,"51.162861184,35.524855896",county,8
1095,بهارستان,"51.774934418,32.490226583",city,4
1832,بهارستان,"52.357194657,27.827146151",city,7
201,بهبهان,"50.215393983,30.523296356",county,20
1429,بهرمان,"55.720463746,30.900414651",city,28
403,بهشهر,"53.700590984,36.647920998",county,34
352,بهمئی,"50.118856311,31.012517033",county,30
1689,بهمن,"52.483331713,31.196172328",city,24
1152,بهنمیر,"52.761282555,36.666067588",city,34
300,بوئین زهرا,"49.954425442,35.792967478",county,25
1474,بوئین سفلی,"45.934979252,35.937048753",city,27
56,بوئین میاندشت,"50.090423337,33.155448734",county,4
266,بوانات,"53.641345806,30.474248617",county,24
504,بوستان,"51.201158156,30.323619155",city,30
1579,بوستان,"56.47,32.01",city,4
1195,بوشکان,"51.698946826,28.831519603",city,7
96,بوشهر,"50.933004215,29.075817051",county,7
25,بوکان,"46.132131307,36.53907426",county,2
1530,بومهن,"51.860911184,35.72811875",city,8
353,بویراحمد,"51.35708342,30.724051747",county,30
812,بیارجمند,"55.807263682,36.080630105",city,22
305,بیجار,"47.64124839,35.930445429",county,27
727,بید خون,"56.47,32.01",city,7
1358,بیدخت,"58.759291539,34.346301051",city,18
1660,بیدروبه,"48.242383263,32.753017158",city,20
843,بیدستان,"50.121836036,36.230635265",city,25
1203,بیده,"51.653206368,30.948758312",city,4
1240,بیران شهر,"48.559394763,33.650234061",city,33
140,بیرجند,"59.261474555,33.064785215",county,17
1650,بیرم,"53.515751468,27.435135892",city,24
1422,بیستون,"47.437136655,34.386864434",city,29
267,بیضا,"52.393989802,30.012466811",county,24
510,بیکاه,"57.178563704,27.352497416",city,36
43,بیله سوار,"47.975484655,39.340997477",county,3
1753,پاتاوه,"51.266265634,30.95452538",city,30
44,پارس آباد,"47.873454041,39.555745594",county,3
439,پارسیان,"53.2772373,27.144060239",county,36
1067,پارود,"61.28963189,26.370906576",city,23
1812,پاریز,"55.748288415,29.873025818",city,28
268,پاسارگاد,"53.151065665,30.13911644",county,24
1813,پاسخن,"54.321495572,28.790175245",city,24
120,پاکدشت,"51.781352949,35.461107676",county,8
1764,پالیز,"48.085992663,34.731970069",city,37
338,پاوه,"46.285946412,35.063091317",county,29
786,پایین هولار,"53.136932101,36.426785923",city,34
1221,پردنجان,"50.598031317,32.252010741",city,16
113,پردیس,"51.791764612,35.698948329",county,8
673,پرندک,"50.680623596,35.365193674",city,35
1273,پره سر,"49.068741561,37.600595161",city,32
1627,پل,"55.745719223,27.013147282",city,36
1674,پل سفید,"53.052993173,36.119235612",city,34
12864,پلان,"56.47,32.01",city,23
392,پلدختر,"47.962738761,33.135530835",county,33
26,پلدشت,"45.110248801,39.187128967",county,2
1192,پلنگ آباد,"50.622654316,35.734447809",city,5
570,پهله,"46.883886044,33.010525452",city,6
1174,پول,"51.592458895,36.394929954",city,34
27,پیرانشهر,"45.222266737,36.684567418",county,2
1008,پیربازار,"49.545864438,37.342159863",city,32
1131,پیربکران,"51.554107454,32.473996835",city,4
1235,پیرتاج,"48.121373763,35.770322255",city,27
780,پیش قلعه,"56.999135979,37.650164535",city,19
18832,پیش قلعه(جدید),"56.47,32.01",city,19
121,پیشوا,"51.749135589,35.329564954",county,8
1033,پیشین,"61.744504901,26.085063459",city,23
1671,تاتارعلیا,"55.061370392,37.100083643",city,31
1089,تازه آباد,"46.151957597,34.7369566",city,29
520,تازه شهر,"44.691921238,38.174483912",city,2
1612,تازه کندانگوت,"56.47,32.01",city,3
816,تازیان پایین,"56.156906825,27.288304494",city,36
301,تاکستان,"49.541351158,36.013268937",county,25
154,تایباد,"60.697203487,34.751649554",county,18
6,تبریز,"46.294105958,38.069384759",county,1
1776,تجریش,"56.47,32.01",city,8
1466,تخت,"56.638841833,27.502993903",city,36
741,تخت سلیمان,"47.217137799,36.610221145",city,2
155,تربت جام,"60.621591771,35.329753099",county,18
156,تربت حیدریه,"59.120457841,35.484069354",county,18
1016,ترک,"47.773494126,37.620254675",city,1
1405,ترکالکی,"48.852029139,32.246131118",city,20
1597,ترکمانچای,"47.388803286,37.582414593",city,1
362,ترکمن,"54.163458433,36.91967569",county,31
1519,تسوج,"45.362257808,38.312946138",city,1
1857,تشان,"50.198721429,30.832880641",city,20
462,تفت,"53.830280736,31.448661007",county,38
237,تفتان,"60.599074555,28.410776414",county,23
424,تفرش,"49.86899654,34.818808319",county,35
28,تکاب,"47.144141955,36.516360913",county,2
687,تلخاب,"49.648331211,34.707760074",city,35
404,تنکابن,"50.821460937,36.615626118",county,34
765,تنکمان,"50.612688675,35.889835988",city,5
1785,تنگ ارم,"51.532187636,29.152565888",city,7
97,تنگستان,"51.251665144,28.811856349",county,7
106,تهران,"51.393044919,35.741052615",county,8
952,توپ آغاج,"47.824160381,36.048445229",city,27
1528,توتکابن,"49.529024179,36.89216402",city,32
1007,توحید,"47.053219837,33.730975956",city,6
643,تودشک,"52.665280446,32.716725287",city,4
1135,توره,"49.28905784,34.044063627",city,35
449,تویسرکان,"48.340341722,34.542751043",county,37
1222,تیتکانلو,"58.28841643,37.281696721",city,19
1730,تیران,"51.152635559,32.699634726",city,4
57,تیران و کرون,"50.959953407,32.784399462",county,4
1529,تیرور,"56.948916246,27.331849068",city,36
473,تیکمه داش,"46.950530299,37.734648426",city,1
1021,تیمورلو,"45.898628971,37.806717904",city,1
339,ثلاث باباجانی,"46.054166576,34.79209384",county,29
1728,ثمرین,"48.136293951,38.357353095",city,3
185,جاجرم,"56.658924293,37.031929109",county,19
1265,جازموریان,"56.47,32.01",county,28
440,جاسک,"58.281814606,25.863464984",county,36
974,جالق,"62.706068802,27.599823653",city,23
872,جاورسیان,"49.325889507,34.256971336",city,35
610,جایزان,"49.850596024,30.8723315",city,20
1683,جبالبارز,"57.884035398,28.903955911",city,28
58,جرقویه,"56.47,32.01",county,4
1165,جزینک,"61.566848074,30.891460817",city,23
1633,جعفر آباد,"56.47,32.01",city,3
1195,جعفرآباد,"56.47,32.01",county,26
669,جعفرآباد,"46.538838283,33.504305792",city,6
628,جعفریه,"50.518638974,34.771495077",city,26
157,جغتای,"56.987730795,36.686539542",county,18
7,جلفا,"45.878627852,38.837430348",county,1
12956,جلیل آباد,"56.47,32.01",city,8
894,جلین,"54.53601375,36.851687404",city,31
98,جم,"52.193842837,27.961178759",county,7
496,جناح,"54.287598405,27.020138848",city,36
1863,جنت آباد,"61.140228657,35.598704176",city,18
1010,جنت شهر,"54.687714269,28.654176236",city,24
1493,جنت مکان,"48.817752356,32.186182743",city,20
1544,جندق,"54.411869012,34.040199644",city,4
1367,جندی شاپور,"48.518093652,32.301317564",city,20
841,جنگل,"59.223287171,34.701937465",city,18
269,جهرم,"53.428475564,28.592937512",county,24
904,جواد آباد,"51.676913788,35.208568507",city,8
1486,جوادیه الهیه,"55.566272524,31.009464939",city,28
1141,جوان قلعه,"45.96885516,37.497283165",city,1
340,جوانرود,"46.297650221,34.857997299",county,29
1849,جوپار,"56.47,32.01",city,28
1373,جورقان,"48.550403309,34.88452111",city,37
639,جوزدان,"51.36931896,32.555942578",city,4
1320,جوزم,"55.035996197,30.521679773",city,28
766,جوشقان قالی,"51.200539058,33.577853671",city,4
1835,جوکار,"48.686977478,34.429540833",city,37
18643,جولکی,"56.47,32.01",city,20
826,جونقان,"50.684758635,32.152341351",city,16
405,جویبار,"52.903812812,36.671490844",county,34
270,جویم,"56.47,32.01",county,24
158,جوین,"57.467995027,36.612302508",county,18
319,جیرفت,"57.505690892,28.773337032",county,28
1725,جیرنده,"49.789764582,36.701136146",city,32
619,چابکسر,"50.560330354,36.977174004",city,32
238,چابهار,"60.878628547,25.520729693",county,23
1369,چاپشلو,"59.07758413,37.351115734",city,18
59,چادگان,"50.536613019,32.745543968",county,4
8,چاراویماق,"47.114645153,37.07040499",county,1
710,چارک,"54.271759778,26.731452435",city,36
1310,چاف وچمخاله,"50.207174837,37.208475411",city,32
1564,چالانچولان,"48.906268714,33.665976255",city,33
29,چالدران,"44.37453661,39.100643866",county,2
406,چالوس,"51.255481748,36.406757875",county,34
8779,چانف,"56.47,32.01",city,23
1747,چاه دادخدا,"58.263722321,27.284255573",city,28
1677,چاه مبارک,"52.791786403,27.367630842",city,7
814,چاه مرید,"57.553442882,27.941223794",city,28
1824,چاه ورز,"53.439246276,27.430575525",city,24
30,چایپاره,"44.999604831,38.882982326",county,2
768,چترود,"56.912201128,30.600587554",city,28
1258,چخماق,"59.8315453,35.273515365",city,18
354,چرام,"50.865325105,30.775698141",county,30
90,چرداول,"46.670096716,33.753179461",county,6
1698,چرمهین,"51.205564023,32.342028845",city,4
851,چشمه شیرین,"47.159115627,33.2738624",city,6
641,چغادک,"51.025501626,28.979195668",city,7
1046,چغامیش,"48.549826134,32.210018936",city,20
1370,چقابل,"47.506915904,33.283093549",city,33
805,چکنه,"58.506267669,36.815077927",city,18
12866,چگرد,"56.47,32.01",city,23
393,چگنی,"47.929471093,33.612913583",county,33
1377,چلگرد,"50.130289718,32.463248405",city,16
1497,چلیچه,"50.628889683,32.230806445",city,16
1581,چم پلک,"47.792317066,33.704963641",city,33
1605,چم گلک,"48.433270827,32.441484914",city,20
1616,چمران,"49.172350409,30.710113419",city,20
1278,چمستان,"52.119425777,36.4859071",city,34
1499,چمگردان,"51.343580463,32.394246827",city,4
660,چمن سلطان,"49.892502039,33.286368718",city,33
1406,چنار,"56.47,32.01",city,18
159,چناران,"59.018205356,36.803073103",county,18
879,چناران شهر,"57.540145387,37.401280037",city,19
838,چناره,"46.303640325,35.632697983",city,27
80,چهار باغ,"50.768790348,35.826913879",county,5
31,چهاربرج,"56.47,32.01",county,2
1218,چهاردانگه,"51.314282714,35.597539769",city,8
566,چوئبده,"48.562461685,30.201429945",city,20
1184,چوار,"56.47,32.01",county,6
1056,چوبر,"48.893135541,38.180178069",city,32
543,چورزق,"48.778745121,36.994791401",city,21
1172,چیتاب,"51.325322184,30.794589109",city,30
441,حاجی آباد,"56.052307142,28.247448181",county,36
1646,حاجی آباد,"59.99538279,33.600746058",city,17
788,حاجی آباد,"54.420488508,28.35593065",city,24
634,حاجیلار,"45.094310278,38.865995605",city,2
709,حبیب آباد,"51.779894059,32.832106857",city,4
829,حر,"48.388621217,32.14384691",city,20
1294,حسامی,"53.867967218,29.971880028",city,24
1565,حسن آباد,"52.455259239,30.519494598",city,24
1852,حسن آباد,"52.627212351,32.135860084",city,4
760,حسن آباد,"51.24121253,35.372788089",city,8
1705,حسین آباد,"47.11575368,35.547151137",city,27
1299,حسینیه,"48.246378658,32.679534348",city,20
969,حصار گرمخان,"57.487420679,37.514050171",city,19
1012,حکم آباد,"57.597851396,36.628746578",city,18
1659,حلب,"48.064033637,36.296567265",city,21
1324,حمزه,"48.584397715,32.396777842",city,20
1117,حمیدیا,"54.397488604,31.818453253",city,38
202,حمیدیه,"48.446881608,31.492964081",county,20
802,حمیل,"46.773488021,33.937052811",city,29
1702,حنا,"51.728337057,31.194800117",city,4
522,حور پاسفید,"56.47,32.01",city,28
1124,حویق,"48.893222505,38.144870145",city,32
463,خاتم,"54.23971851,30.35663855",county,38
1001,خاتون آباد,"55.418191972,30.011175371",city,28
1740,خارک,"50.319804992,29.249012504",city,7
1575,خاروانا,"46.178567827,38.691311056",city,1
239,خاش,"61.412530681,28.129821257",county,23
1807,خاکعلی,"50.176216429,36.130080779",city,25
626,خالدآ باد,"51.978954291,33.704055483",city,4
